,x,y
33,"During a game, a player collects 4 bronze coins, 11 silver coins, and 5 gold coins. How many coins has the player collected?
Add 4, 11, and 5 to get 20.",Answer: 20.
34,"A child stacks 12 wooden blocks, then adds 15 plastic blocks and 11 foam blocks. How many blocks are stacked now?
Add 12, 15, and 11 to get 38.",Answer: 38.
35,"There are 11 red balloons, 2 blue balloons, and 10 green balloons in a classroom. How many balloons are there in total?
Add 11, 2, and 10 to get 23.",Answer: 23.
36,"A farmer counts 11 cows in one field, 3 sheep in another, and 9 goats near the barn. How many animals does the farmer see altogether?
Add 11, 3, and 9 to get 23.",Answer: 23.
37,"In a puzzle, 12 triangles, 4 squares, and 3 circles are drawn. What is the total number of shapes?
Add 12, 4, and 3 to get 19.",Answer: 19.
38,"During a game, a player collects 8 bronze coins, 7 silver coins, and 5 gold coins. How many coins has the player collected?
Add 8, 7, and 5 to get 20.",Answer: 20.
39,"A child stacks 15 wooden blocks, then adds 11 plastic blocks and 12 foam blocks. How many blocks are stacked now?
Add 15, 11, and 12 to get 38.",Answer: 38.
40,"There are 9 red balloons, 4 blue balloons, and 11 green balloons in a classroom. How many balloons are there in total?
Add 9, 4, and 11 to get 24.",Answer: 24.
41,"A farmer counts 6 cows in one field, 14 sheep in another, and 13 goats near the barn. How many animals does the farmer see altogether?
Add 6, 14, and 13 to get 33.",Answer: 33.
42,"In a puzzle, 13 triangles, 1 squares, and 4 circles are drawn. What is the total number of shapes?
Add 13, 1, and 4 to get 18.",Answer: 18.
43,"During a game, a player collects 14 bronze coins, 1 silver coins, and 13 gold coins. How many coins has the player collected?
Add 14, 1, and 13 to get 28.",Answer: 28.
44,"A child stacks 6 wooden blocks, then adds 7 plastic blocks and 5 foam blocks. How many blocks are stacked now?
Add 6, 7, and 5 to get 18.",Answer: 18.
45,"There are 2 red balloons, 4 blue balloons, and 15 green balloons in a classroom. How many balloons are there in total?
Add 2, 4, and 15 to get 21.",Answer: 21.
46,"A farmer counts 10 cows in one field, 15 sheep in another, and 12 goats near the barn. How many animals does the farmer see altogether?
Add 10, 15, and 12 to get 37.",Answer: 37.
47,"In a puzzle, 6 triangles, 4 squares, and 11 circles are drawn. What is the total number of shapes?
Add 6, 4, and 11 to get 21.",Answer: 21.
48,"During a game, a player collects 8 bronze coins, 7 silver coins, and 15 gold coins. How many coins has the player collected?
Add 8, 7, and 15 to get 30.",Answer: 30.
49,"A child stacks 15 wooden blocks, then adds 11 plastic blocks and 8 foam blocks. How many blocks are stacked now?
Add 15, 11, and 8 to get 34.",Answer: 34.
